PALAVRA;SENTIMENTO
dê atenção ; 0.147
dê flor ; 0.906
dê informação ;0
dê ordem ; 0.102
dê oxigênio ; 0.929
dê uma mordida ; 0.808
díade ; 0.702
dínamo ; -0.058
dívidas ; -0.959
dízimo ; -0.046
dócil ; 0.625
dói mais ; -0.728
dói o dente ; 0.038
dólar ; -0.032
dúbio ; -0.642
dúctil ; 0.841
dúvida ; -0.948
e sabão ; 0.035
eager beaver ; 0.691
ebulição ;0
echarpe ; 0.702
eclat ; 0.639
eclético ; 0.032
eco ; 0.857
eco sistema ; 0.927
economia ;0
economia de escala ; 0.953
economizar espaço ; 0.281
economizar tempo ; 0.045
economizar água ; 0.107
economize até ; 0.02
económico ; 0.913
econômico ; 0.722
ecossistemas ;0
edacity ; 0.768
edema periódica ; -0.998
edgeless ; -0.043
edificar ;0
edifício alto ; -0.057
edifício de corpo ; 0.034
edifício grande ;0
edifícios governamentais ;0
editar ; 0.969
edito ; 0.028
editorial ; -0.052
edição ; -0.623
edição de bolso ; 0.648
edredom ; 0.087
edredon ; 0.024
educar-se ; 0.743
educar o palpite ; -0.051
educar os outros ; 0.936
educação ; 0.97
educação continuada ; 0.702
educação do desejo ; 0.757
educação entretenimento ; 0.797
educação familiar ; 0.858
educação infantil ; -0.048
edulcorate ; 0.868
edward everett hale ; 0.816
edward teller ;0
efeito ; -0.966
efeito cascata ;0
efeito hipnótico ; 0.354
efeito secundário ; -0.966
efeminado ; -0.63
efeminados ; -0.63
efeméride ; 0.783
efervescência ; 0.609
efetivar ; -0.127
efface ; -0.825
effectual ; 0.622
effortfulness ; -0.646
eficaz ; 0.982
eficiente ; 0.024
eflorescência ; -0.963
efusão ; -0.592
efémero ; 0.064
eglefim ;0
egoísmo ; -0.813
egoísta ;0
eismowe ; 0.284
eixo ; -0.17
ejacular ; 0.032
ejaculação ; -0.74
elaborar ;0
elaboração ; -0.544
elapídeos ; -0.575
elapídeos cobra ; -0.575
elasticidade ; -0.055
elating ; 0.643
elefante pequeno ; 0.711
elefante sentado no peito ; -0.044
elegante ; 0.927
eleger a pessoa ;0
eleger o escritório ; 0.02
eleger o oficial ; 0.025
eleger o presidente ; 0.053
elegância ; -0.684
elegível ; 0.866
eleito oficial ; 0.984
eleição ;0
eleição presidencial ;0
elemento de calor ; 0.061
elemento de fixação ; 0.746
elemento de proteção ;0
elemento de tempo ; 0.116
elemento pesado ; 0.04
elemento que vale ; -0.027
elemento químico ;0
elementos ; 0.03
elenco ;0
elenco de agulha ; -0.883
eletricidade ; -0.798
eletricidade de fonte ; 0.033
eletricidade estática ;0
eletrificar ; 0.781
eletrizante ; 0.74
eletrocução ;0
eletronic ; 0.805
eletrônica ; 0.101
elevado valor ; 0.026
elevador ; 0.064
elevador carro ; 0.914
elevador de multidão ; -0.703
elevador de peso ; 0.076
elevar ; 0.897
elevar a auto-estima ;0
elevar o animal ;0
elevação ; 0.039
eliminador de vara ; 0.757
eliminados ; 0.946
eliminar ; -0.825
eliminação ; -0.14
elisir ; 0.107
elitista ; 0.922
elixir ; -0.552
ell ; -0.027
elmo ; -0.595
elocute ; 0.584
elogio de peixe ; -0.916
elogiosa ; 0.722
eloquente ;0
elástica ; 0.808
elástico ; -0.043
elétrico ;0
elétron ;0
elíptica ;0
em andamento ; 0.535
em atividade na ; 0.924
em borracha ; 0.744
em branco ;0
em brasa ; 0.988
em cativeiro ; -0.93
em chamas ;0
em cima ;0
em circunstâncias financeiras ;0
em desespero ; -0.777
em dinheiro ; -0.05
em direção ;0
em entre ; 0.043
em escassez ; -0.914
em forma de ovo ;0
em forma de pêra ; -0.915
em frente ; 0.844
em lágrimas ; -0.71
em nada ; -0.973
em nenhum lugar ; 0.053
em outro lugar ;0
em particular ;0
em prosa ; 0.048
em pé ; 0.829
em silêncio ;0
em todo o lugar ;0
em todo o mundo ; 0.021
em vertentes ;0
em êxtase ; 0.504
emaciado ;0
email ;0
emancipação ; 0.793
emaranhada ;0
emaranhado ; 0.59
embaixada ; 0.054
embaixador ; 0.029
embaralhamento ; -0.781
embarassament ; -0.093
embaraçar ; -0.964
embaraçosamente ; -0.9
embaraçoso ; -0.997
embarcar ; 0.686
embarcação ; 0.042
embelezamento ; 0.944
emblemático ;0
embora ; -0.853
embora a lua ;0
embora o documento ; 0.164
emborrachada ; -0.039
emboscar ;0
embotados ; -0.043
embraiagem ;0
embraigar ;0
embriaguez ;0
embromador ;0
embrulhado ; 0.784
embrulhar ;0
embrulhar o presente ; 0.915
embrulhar presentes ;0
embutido ; 0.716
emenda ; -0.048
emendados ; -0.623
emendar ; -0.075
eminência frontal ; 0.737
emissora ; -0.065
emissora de televisão ;0
emissão ; -0.027
emitem luz ;0
emocional ; 0.655
emocionalidade ; 0.681
emocionalismo ; 0.783
emocionante ; 0.481
emote ; 0.856
emoção ; 0.89
emoção agradável ; 0.999
emoção boa ; 0.605
emoção com raiva ;0
emoção comum ; -0.184
emoção feliz ; 0.77
emoção forte ;0
emoções humanas ; 0.982
empacotar ;0
empalidecer ; -0.076
empapado ; -0.713
empate ; 0.91
empatia ; 0.074
empenhado ; -0.754
empilhador ; 0.087
empinar pipa ; 0.088
emplace ; 0.619
empobrecer ; -0.892
empoeirado ;0
empoleirando pássaro ; -0.927
empreendimento de risco ; 0.59
empregada ; -0.626
empregado ;0
empregado de fogo ; -0.847
empregado de limpeza ;0
empregado de mesa ; 0.824
emprego ; 0.917
emprego de salário alto ; 0.109
emprego dos sonhos ; 0.263
empresa de cartão de crédito ; -0.028
empresa de grande porte ; 0.069
empresa de informática ; 0.063
empresa de software ; 0.062
empresa do grupo ; 0.049
empresa vem ; 0.058
empresas ; 0.094
emprestar a mão ;0
emprestar dinheiro ; 0.865
emprestar o livro ; -0.061
emprestar o livro da biblioteca ; 0.601
empresário ; 0.854
empréstimo ; -0.052
empréstimo bancário ;0
empurrar ; 0.576
empurre com força ;0
empurre juntos ; 0.052
empurre o pino ;0
empurrão ;0
empática ;0
emético ; -0.62
enamorar-se ; 0.738
enamoredness ; 0.531
encadernar livro ; -0.063
encalhar ;0
encaminhar e-mail ;0
encandear ; -0.809
encantado ; 0.998
encantador ;0
encantar ; 0.894
encantar o público ; 0.986
encaracolado ; 0.03
encaracolado salada verde ; 0.636
encarar ; -0.635
encarceramento ; -0.808
encardido ;0
encarregar ; 0.62
encarregar-se ; -0.045
encefalopatia ; -0.528
encefalopatia espongiforme bovina ;0
encenador ; -0.043
encerrar caso ; -0.758
enchain ; -0.773
encher ; 0.024
encher-se ; 0.097
encher a cara ; -0.72
encher com areia ; -0.941
enciclopédias ;0
encobrir ; 0.783
encolher-se ; -0.992
encolher de ombros ;0
encolhimento ; -0.996
encolhimento de roupas ; -0.996
encomiástico ; 0.722
encontrar ;0
encontrar-se ; 0.042
encontrar-se fora ; 0.146
encontrar a américa ; -0.067
encontrar a biblioteca ; -0.051
encontrar a biblioteca de livros ; 0.823
encontrar a biblioteca humana ; -0.051
encontrar a bola ; -0.09
encontrar a cadeira ; 0.988
encontrar a caixa de fósforos ; 0.087
encontrar a caneta e papel ; 0.787
encontrar a casa de banho ; 0.756
encontrar a chave de casa ; 0.281
encontrar a chave do carro ;0
encontrar a compilação ; 0.078
encontrar a cozinha ;0
encontrar a cura ; 0.612
encontrar a despensa ; -0.044
encontrar a direção ; 0.853
encontrar a escola ; 0.061
encontrar a estrada ; 0.807
encontrar a fazenda ; 0.892
encontrar a fita ;0
encontrar a flor ; 0.737
encontrar a igreja ; 0.768
encontrar a linha ; 0.997
encontrar a linha de fundo ;0
encontrar a localização ; 0.881
encontrar a mercearia ; 0.974
encontrar a mesa ; 0.853
encontrar a montanha ; 0.281
encontrar a média ; 0.768
encontrar a nova cultura ; 0.819
encontrar a paragem de metro ; 0.939
encontrar a pessoa ; 0.086
encontrar a planta ;0
encontrar a praia ; 0.756
encontrar a receita ; 0.061
encontrar a solução ; 0.691
encontrar a solução para o problema ; 0.527
encontrar a terra ; 0.088
encontrar a vítima ; -0.078
encontrar aeroporto ; -0.059
encontrar ajuda ; 0.895
encontrar alguém para jogar com ; 0.611
encontrar amigo jogar ; 0.737
encontrar amigos ; 0.751
encontrar carro ; -0.024
encontrar casa ; 0.078
encontrar comida ; 0.759
encontrar companheiro ; 0.722
encontrar correspondência ; 0.087
encontrar cumprimentar ;0
encontrar dinheiro ; 0.716
encontrar emprego ; 0.955
encontrar endereço ; 0.89
encontrar hotel ; 0.759
encontrar informações ; 0.535
encontrar loja ; 0.799
encontrar lugar para sentar ; 0.577
encontrar lugar tranquilo ; 0.911
encontrar lá em cima ; -0.882
encontrar madeira ;0
encontrar motel ; 0.281
encontrar mulher ; -0.861
encontrar nova ; 0.876
encontrar o amigo ; 0.754
encontrar o amor ; 0.739
encontrar o animal ; 0.281
encontrar o assento ; 0.914
encontrar o avião ; -0.042
encontrar o banco ; -0.176
encontrar o bug ; 0.956
encontrar o caminho ; 0.7
encontrar o carrinho de linha ; -0.152
encontrar o centro comercial ; 0.911
encontrar o chuveiro ; 0.047
encontrar o chão ; 0.036
encontrar o comerciante ; 0.719
encontrar o computador ; 0.89
encontrar o culpado ; -0.234
encontrar o cão ; 0.281
encontrar o edifício ; 0.078
encontrar o equilíbrio ; 0.709
encontrar o escritório ; 0.029
encontrar o espaço do parque ; 0.747
encontrar o fato ; 0.901
encontrar o hospício ; 0.281
encontrar o inimigo ; -0.181
encontrar o interesse ; 0.814
encontrar o jardim ;0
encontrar o jogo ; 0.892
encontrar o jornal ; 0.088
encontrar o lago ;0
encontrar o livro ; 0.725
encontrar o mar ; 0.904
encontrar o mercado ; 0.927
encontrar o metro ; 0.155
encontrar o museu ; 0.281
encontrar o médico ; 0.612
encontrar o novo amigo ;0
encontrar o número ; 0.871
encontrar o número de telefone ; 0.035
encontrar o papel ; 0.952
encontrar o parceiro ; 0.707
encontrar o parque de campismo ; 0.281
encontrar o país ; 0.934
encontrar o pote ; 0.101
encontrar o problema ; -0.984
encontrar o professor ; -0.078
encontrar o próprio lugar no mundo ;0
encontrar o rancho ; -0.039
encontrar o restaurante ; 0.854
encontrar o subúrbio ; -0.038
encontrar o televisor ; 0.787
encontrar o tesouro ; 0.64
encontrar o travesseiro ; 0.281
encontrar o vaso sanitário ; 0.993
encontrar outra pessoa ; -0.051
encontrar outro jogador ; -0.044
encontrar pornografia ; -0.72
encontrar resposta ; 0.746
encontrar total ; -0.954
encontrar tv ; 0.787
encontrar um terreno ;0
encontre a carteira ; 0.799
encontre a loja de ferragens ; 0.932
encontre na loja de café ;0
encontre outra pessoa ; 0.741
encontre tabela ; 0.801
encontro ;0
encontro de avivamento ; 0.669
encontro de cadeira ; -0.885
encontro romântico ; 0.076
encontro social ; 0.663
encoprese ; -0.525
encorajamento ; 0.531
encorajar ; 0.9
encore ; 0.973
encostar ;0
encruzilhada ; 0.101
enculturação ; 0.902
encurtar o cabelo ; -0.04
endereço ; 0.038
endiabrado ;0
endinheirado ; 0.704
endividamento de conta ; 0.628
endoscópio ; 0.255
endossar ; 0.8
endurecer ; 0.641
endurecer o criminoso ; -0.094
endurecimento ; -0.716
endívia ; 0.636
enegrecido ; -0.7
enema ; -0.176
energia ; -0.12
energia cinética ;0
energia eólica ; 0.996
energia potencial ;0
enervado ;0
enervante ; 0.753
enevoado ; 0.085
enfant terrible ; -0.614
enfeitiçado ; 0.998
enfeitiçar ; 0.072
enfeixamento de prática ; -0.621
enfermeira ; 0.024
enfermeiro ; -0.036
enferrujada ; -0.622
enfia no ;0
enfiar-se em torno de ; -0.914
enfileirar ; -0.154
enfraquecer ; 0.753
enfraquecido ; -0.978
enfrentamento ; -0.948
enfrentar ; -0.885
enfurecer ; -0.944
enfureceu ; -0.137
enfurecido ; -0.137
enganar ; -0.977
enganar alguém ; -0.96
enganar o ; 0.653
enganar o parceiro ; -0.914
enganação ;0
enganchado ;0
engano ; -0.582
enganosa ;0
enganosas ;0
enganoso ; -0.089
engarrafamento de ar ; -0.987
engarrafamentos ; -0.157
engelhados ;0
engenheiro ; 0.869
engenho explosivo ; -0.141
engenhocas ; 0.843
engenhoso ; 0.738
englobar ; 0.077
engodo ; 0.854
engolfar ; 0.783
engolir a comida ;0
engolir sêmen ; 0.746
engordar ; -0.972
engravidar a fêmea ; 0.081
engraxar sapatos ;0
engraçado ; 0.881
engraçado olhar ;0
engrenagem ; -0.034
engrenagem de mudança ; -0.964
engrenagem principal ; 0.119
engrossment ; 0.946
enguiçar ; -0.123
enhancive ; 0.596
enigma ; -0.052
enjoado ; -0.062
enjoyousured ; 0.983
enlameada ; -0.818
enlouquecedora ; -0.132
enlouquecer ; -0.292
enoja ; -0.962
enojados ; -0.089
enorme ; 0.052
enquete ;0
enragement ; -0.125
enraizar ; 0.04
enredados ; 0.59
enrolar ; 0.612
enrole para baixo ; 0.996
enrugar ; -0.694
ensaboar ; -0.074
ensaio ; -0.702
ensaio de campo ; 0.928
ensaio de escola ; -0.031
ensaios ; 0.747
ensemble ; -0.507
ensinar ; 0.971
ensinar a criança ; 0.737
ensinar a ler ; 0.826
ensinar a mente aberta ; 0.826
ensinar a pessoa ; 0.826
ensinar aos outros ; 0.98
ensinar de novo ; 0.925
ensinar novas habilidades ; 0.925
ensinar o aluno ; 0.8
ensinar o computador ; 0.737
ensinar o mundo ; 0.98
ensinar outra pessoa ; 0.929
ensino de leitura ; 0.548
ensino superior ; 0.383
ensino universitário ; -0.077
ensolaradas ;0
ensolarado ; 0.21
ensorcelled ; 0.998
ensurdecedor ; -0.914
ensurdecer ; -0.946
entediado ; -0.778
entenda a regra ; 0.928
entenda o problema ; 0.762
entende o grande ; 0.757
entendemos um ao outro ; 0.932
entender ; 0.698
entender a trama ; 0.895
entender mal ; -0.022
entender o evento atual ; 0.97
entendido ;0
entendo o fato de ; -0.167
enterostenosis ; -0.815
enterrar a pessoa ; -0.127
enterrar o corpo ; -0.139
enterrar o gato ; -0.886
enterrar o morto ; -0.727
enterrar os mortos ; -0.14
entidade ao vivo ;0
entidade política ; 0.044
entontecer ;0
entorpecer ; -0.841
entorpecidos ; -0.612
entrada ; -0.706
entrada de ar ;0
entrada de palco ;0
entrada do restaurante ; 0.087
entrada em casa ; 0.994
entrada múltipla ; 0.709
entrada sensorial ;0
entrar ; -0.928
entrar dados de computador ; -0.114
entrar em casa ; 0.281
entrar em concurso ; 0.141
entrar em contato com a polícia ; 0.214
entrar em contato com o advogado ; -0.152
entrar em contato com o amigo ;0
entrar em contato social ; 0.985
entrar em forma ; 0.673
entrar fisicamente em forma ; 0.741
entrar loja ; 0.281
entrar na casa ; 0.097
entrar no quarto ;0
entrar área ; -0.056
entrega ; -0.025
entrega de correio ; -0.025
entregar ; -0.077
entregar o bebê ; -0.037
entreposto ; 0.027
entretenimento aprenda ; 0.945
entretenimento de desejo ; 0.128
entretenimento estúpido ; 0.951
entreter-se oneself ; 0.927
entreter a criança ;0
entreter a empresa ; 0.196
entreter a multidão ; 0.988
entreter a outra pessoa ; 0.924
entreter a pessoa ;0
entreter o amigo ; 0.036
entreter o público ; 0.875
entreter os outros ; 0.971
entreterimento ; 0.951
entrevista de emprego falhada ; -0.966
entrevistar ;0
entropia ; -0.823
entupir ; -0.71
entupir a artéria ;0
entusiasmo ;0
entusiasta ; 0.534
entusiasticamente ; 0.481
entusiástico ; 0.481
enumerar ;0
enumeração ; 0.023
enumerável ; 0.983
enured ; 0.641
envelhecem ;0
envelhecem prematuramente ; -0.951
envelhecer ;0
envelhecer graciosamente ;0
envelope ; 0.058
envelope de endereço ; -0.127
envenenador ; -0.628
envenenamento do cogumelo ; -0.534
envergonhado ; -0.729
envergonhar-se ; -0.964
enviar ; 0.83
enviar cartão ; 0.935
enviar dinheiro ; -0.066
enviar e-mail ;0
enviar informações ;0
enviar letra ;0
enviar mensagem ; 0.107
enviar o pacote ;0
enviar o presente ; 0.7
enviar o sinal ; 0.107
enviar para a prisão ;0
enviar uma mensagem ; 0.047
envie flores ; 0.889
envio de ; -0.997
envoltório de presente ; 0.911
envolvem ; 0.026
envolver em torno ; 0.067
envolver o esporte ; 0.877
envolvidos ;0
enxada ; -0.088
enxaguamento ; 0.116
enxaguante bucal ; 0.825
enxaqueca ; -0.849
enérgico ; 0.73
epicure ; 0.897
epidemias ; -0.812
epidemiologista ; 0.904
epifania ; 0.963
epiglotite ; -0.998
epinefrina ;0
episódio ; 0.933
episódio depressivo maior ; -0.786
epitáfio ;0
epizoótica ; -0.812
epopéia ; 0.089
equable ; 0.884
equanimidade ;0
equação de álgebra ;0
equação matemática ; 0.71
equidistribuição ; 0.948
equilibrado ; 0.814
equipado ; 0.84
equipamento ; -0.914
equipamento adequado ;0
equipamento de chuva ; 0.106
equipamento de hóquei ; 0.927
equipamento de mergulho ; -0.04
equipamento de peixe ; 0.079
equipamento de proteção ;0
equipamento desportivo ; 0.52
equipamento médico ;0
equipamentos de esporte ; 0.749
equipamentos de ginástica ;0
equipamentos de playground ; 0.024
equipamentos de química ; 0.032
equiparar ; -0.946
equipe ;0
equipe-se ; 0.087
equipe de ajuda ; 0.902
equipe de funcionários hostil ; -0.983
equipe de liderança ; -0.066
equipe de trabalho ; -0.086
equipe perde ; -0.873
equipt ; 0.61
equivalência ; -0.894
equivocar ; -0.775
equânime ;0
eremita ;0
ergotismo ; -0.72
eristical ; 0.702
eritema ; -0.859
eritema multiforme ; -0.859
eritema nodoso ; -0.859
eritrodermia ; -0.859
erodir ; -0.16
erosão ; -0.825
errado ; -0.732
errante ; -0.831
errantes ; -0.831
erro ; -0.701
erro de cálculo ; -0.509
erro de gramática ; -0.793
erro de programação ; -0.985
erro de pronúncia ; 0.524
erro de sintaxe ; -0.985
erro de software ; -0.91
erro de tempo de execução ; -0.985
erro do computador ; -0.985
erro semântico ; -0.985
erro terrível ; -0.082
errático ;0
erudita ; 0.71
erudito ;0
erupção cutânea ;0
erupções vulcânicas ;0
erva-doce cão ; 0.732
erva de tração ; -0.073
erva doce ; -0.766
ervilheira ; 0.857
erística ; 0.655
erótico ; 0.229
esaminatore ; 0.711
esbelta ;0
esboçado ; 0.903
esboço ; 0.051
esburacada ; -0.087
escada ; -0.068
escada abaixo ; 0.744
escala ; -0.996
escala da carta ; 0.029
escala de medição ; -0.558
escala de salários ; 0.687
escala de vento ; -0.662
escala móvel ; 0.687
escalada ; -0.529
escalada de montanha a montanha ;0
escalada de rocha ; 0.861
escalada de samambaia ; 0.281
escalar montanha ;0
escalar rocha ;0
escalda ;0
escale a árvore ;0
escalfados ;0
escamoso ;0
escaninho waste ; -0.043
escapamento ;0
escapar da justiça ; -0.931
escapista ; -0.698
escarnecedor ; 0.826
escassez ; -0.741
escasso ; -0.736
escavar ; -0.18
escavar para fora ; -0.914
esclarecer ; -0.035
esclarecimento ; -0.125
esclareça ; 0.853
escocês ; 0.934
escol ; 0.028
escola ; 0.915
escola da caminhada ; -0.115
escola de assunto ; 0.069
escola de bicicleta ; -0.165
escola de música ; -0.042
escola de pós-graduação ;0
escola municipal ; 0.058
escola primária ; 0.79
escolar ; 0.738
escolas ; 0.867
escolha a opção ;0
escolha comer ; -0.032
escolha o assunto ; -0.071
escolha o destino ; -0.083
escolha o jogo ;0
escolha o tópico ; 0.77
escolha time ; 0.784
escolhas múltiplas ; -0.066
escolher ;0
escolher a cor ;0
escolher a flor ; -0.081
escolher a vítima ;0
escolher o assento ; -0.04
escolher o dente ;0
escolher o livro ; -0.058
escolher o nariz ; -0.062
escombro ; -0.087
esconder ;0
esconder-se ; -0.139
esconder a identidade ; -0.381
esconder a verdade ; -0.16
esconder da vista ; -0.951
esconder o corpo ;0
esconder o escudo ;0
esconder o rosto ; -0.911
esconder provas ;0
esconderijo ;0
escopo de informação ; -0.05
escorar ; -0.155
escorar a parede ; -0.053
escorbuto ; -0.722
escoriação ; -0.141
escorregadia ; -0.988
escotilha ;0
escova de cabelo ; 0.784
escova de dente ; 0.043
escova de dentes ; 0.036
escova de vaso sanitário ; 0.759
escova dental elétrica ; 0.867
escova para baixo ; -0.725
escova redonda ;0
escrava ; 0.585
escravidão do salário ;0
escravizar a pessoa ; -0.113
escravo ; 0.585
escravo do salário ;0
escravo do sexo feminino ; -0.917
escravos livres ;0
escreva a data ; 0.463
escreva a idéia ; 0.847
escreva a nota ; -0.028
escreva o texto ; 0.608
escrever ;0
escrever a atribuição ; 0.022
escrever a carta de suicídio ; -0.062
escrever a implementar ; 0.022
escrever a lista ; -0.051
escrever a monografia ; -0.031
escrever a palavra ; -0.084
escrever amigo ; 0.983
escrever com estilo ;0
escrever comentário ;0
escrever currículo ;0
escrever código ;0
escrever de volta ;0
escrever direito ;0
escrever e-mail ;0
escrever história ;0
escrever livro ;0
escrever lírica ; 0.563
escrever mensagem ; -0.028
escrever no caderno ; -0.028
escrever o equipamento ; 0.022
escrever o número ; 0.995
escrever o poema ;0
escrever o programa ; 0.983
escrever o programa de computador ; -0.109
escrever o relatório ;0
escrever o romance ; 0.022
escrever poesia ;0
escrever redação ; 0.816
escrever tese ; -0.031
escrever um roteiro para ; -0.04
escrito à mão ;0
escritor ; 0.123
escritos para baixo ; -0.072
escritura ;0
escrituras ;0
escritório de advogado ; 0.054
escritório de contabilista ; 0.026
escritório de governo ; 0.027
escritório de ir ; -0.05
escritório de registro ; 0.053
escritório do arquiteto ;0
escritório do livro ; 0.077
escritório do professor ; 0.867
escritório veterinário ; -0.023
escrotisse ; 0.764
escroto ;0
escrutinar ;0
escrutínio ; 0.809
escudeiro ; -0.14
escudo ; 0.203
esculpido ; 0.636
esculpir ; 0.047
esculpir o gel ; -0.04
esculpir o nicho ;0
escultores ; 0.681
escultura ; 0.969
escultural ; 0.636
escurecer ; -0.083
escuridão ; 0.032
escuro lá fora ; -0.083
escusar ; 0.601
escute a orquestra ; 0.681
escute o coração ;0
escuteiro ; 0.798
escárnio ;0
escândalo ; -0.062
esfaquear ; 0.751
esfarrapado ; -0.843
esfera ;0
esfera de salto ; -0.099
esfera perfeita ;0
esfoliante ;0
esforçada ; -0.825
esforço ; -0.109
esforço de tempo ; 0.963
esforço físico ;0
esfrega a vara de dois ;0
esfregar o chão ; -0.106
esfregar o olho ; -0.14
esfregão ; 0.72
esfriar a bebida ;0
esférico ;0
esféricos ; 0.969
esgotado ; -0.767
esgotados ; 0.921
esgotar ;0
esgueirar-se ;0
esgueirar-se para fora ; 0.851
esgueiravam ; -0.515
esguinche ; -0.592
esmagar ;0
esmagar o gelo ;0
esmalte ; -0.063
esmeralda ; 0.418
esmerilar ; -0.976
esmiuçadas ; 0.648
esmola ; 0.053
esmurrar ;0
esnobe ; 0.596
espadachim ; 0.967
espaguete ;0
espalhados ; -0.84
espalhar ; -0.051
espalhar a ideia ; 0.686
espalhar a manteiga ; -0.095
espalhar a semente ; 0.107
espalhar felicidade ; 0.809
espalhar o amor ;0
espalhe a notícia ; 0.551
espalhe a palavra ; 0.211
espancadora ; 0.68
espanhóis ; 0.481
espanto ;0
espartano ; 0.555
espasmo ; -0.079
espasmos ; -0.56
espasmódica ; -0.872
espaço ; -0.728
espaço aberto ; 0.022
espaço de armazenamento ;0
espaço de escritório ; 0.03
espaço do parque ; 0.039
espaço em branco ; -0.982
espaço entre ; 0.045
espaço próprio ; 0.247
espaço vazio ; 0.046
espaço visual ; -0.739
espaço vivo ;0
espaçosos ; 0.075
espechiaria ; 0.743
especial ;0
especial acontecer ; 0.857
especialidade médica ; 0.701
especialista em ;0
especialista em esportes ;0
especialista em fuga ; 0.9
especialmente o ; 0.073
especificar ;0
especificáveis ; 0.935
espectro ; -0.051
especulador ; -0.786
específicas ;0
espelho ;0
espelho de pausa ; -0.931
espera ; -0.024
espera de dinheiro ; 0.023
espera que ; -0.746
esperança ;0
esperança de paz ; 0.701
esperançoso ; 0.315
esperar ;0
esperar a vez ; -0.029
esperar na fila ;0
esperar o ônibus ;0
esperar pacientemente ;0
esperar para sempre ; -0.245
esperar por ; -0.914
esperar um pouco ; -0.867
espere ; 0.055
espere a tabela ; 0.974
espere o serviço ;0
espere o trem ; -0.041
espere sua vez ; -0.068
espermatozóide ; 0.038
espero comentários ;0
espero ganhar ; 0.867
espero que ; 0.37
esperteza ; 0.995
espertinho ; -0.955
espessado ; 0.641
espessamento ; 0.652
espessar-se ;0
espetacular ;0
espetado ;0
espingarda ; -0.821
espinha de peixe ;0
espinha dorsal ;0
espinhaço ; 0.147
espinho ;0
espinhosa ;0
espinhoso ;0
espiritual ;0
espiritualidade ; 0.08
espirituoso ; 0.716
espirrar ;0
espião ; -0.054
esplendoroso ; 0.75
esplim ; -0.092
esplêndida ; 0.75
esplênicas ;0
esponja ; 0.866
esponja de ; 0.72
espontâneo ; 0.727
esporte ; 0.7
esporte americano ;0
esporte ao ar livre ;0
esporte bola ;0
esporte bruto ;0
esporte caro ;0
esporte de contato ;0
esporte de equipe ; 0.046
esporte de gelo ; 0.051
esporte de inverno ; 0.931
esporte de água ;0
esporte olímpico ;0
esporte perigoso ;0
esporte violento ;0
esportes ; 0.906
esportes radicais ;0
esportivo ; 0.582
espremer para fora ; -0.919
espuma ; 0.085
espástica ; -0.569
espécie animal ; -0.78
espécie animal de estimação ;0
espécie de sobrevivência ;0
espécies ; 0.051
espécies de peixes ; 0.565
espécies em vias de extinção ; -0.12
espéculo ; -0.024
espírito ;0
espírito até ; 0.759
espírito competitivo ; 0.097
espírito de luta ; 0.827
espíritos de vinho ; -0.915
espúria ;0
esquecer ; -0.633
esquecer mais ; -0.112
esquecida ; -0.714
esquecimento ; -0.073
esqueleto ; 0.042
esquema fraudulento ; -0.914
esquentar ; 0.218
esquerda ; 0.883
esquerda direita ; 0.082
esqueça-se ; -0.158
esqueça o fato de ; -0.133
esqueça o nome ; -0.957
esqueça o problema ; 0.728
esqueça os problemas ; 0.889
esqueça tudo ; -0.724
esqui cross-country ; -0.028
esqui de neve ; 0.107
esquiador ;0
esquiar ; -0.889
esquina ;0
esquisitão ; -0.648
esquivando-se ; -0.771
esquizofrenia ;0
esquizofrênico ; -0.606
esquizóide ;0
esquálidas ; -0.768
esse cheiro ; -0.674
essência ; 0.645
estabelecer o crédito ; 0.036
estabelecimentos de ensino ; 0.927
estabilidade ; -0.026
estabilizadora ; 0.073
estabilizar ; 0.04
estaca ; 0.034
estacionária ; 0.04
estadia morta morto ;0
estado-nação ; 0.151
estado da mente ;0
estado de espírito ; 0.964
estado de nome ; 0.122
estado fisiológico ; -0.565
estado grande ; 0.043
estado mental ;0
estado natural ; -0.93
estado patológico ; -0.831
estado político ; 0.053
estado psicológico ; 0.964
estado temporário ; 0.964
estado óbvio ; 0.852
estalactite ; 0.066
estampar ; -0.128
estandarte ; 0.041
estanho-alumínio ; 0.028
estar com o cio ; 0.69
estar em conformidade com ; 0.731
estar em harmonia ; 0.509
estar errado ; -0.693
estar inclinado a ; -0.546
estatuto inferior ; -0.724
estatística ; 0.076
estação ; 0.027
estação de metro ; 0.025
estação de metrô ; 0.947
estação espacial internacional ;0
estações ; 0.052
estações de esqui ;0
estações ferroviárias ;0
esteira ; 0.52
esteira rolante ; -0.558
estender ; -0.04
estender o braço ; 0.967
estenose ; -0.815
estenose aórtica ; -0.815
estenose mitral ; -0.815
esterco de vaca ; -0.838
estereofonia ; 0.064
estereotipada ; 0.84
estetoscópio ; 0.255
esticar ; -0.106
esticar perna ; 0.07
esticar primeiro ; -0.054
estilo de moda ; 0.738
estilo de pé ; -0.137
estilo de roupas ; 0.035
estilo de vida ;0
estilo de vida saudável ; 0.799
estimado ; 0.991
estimador ;0
estimar ; -0.058
estimativa ; -0.023
estimulada ; 0.84
estimulam a mente ; 0.868
estimulando ; 0.645
estimulante ; 0.644
estimular o apetite ; 0.032
estimulação do olho ; 0.825
estimulação intelectual ;0
estimulação sexual ;0
estimável ; 0.983
