ALUNO;MENSAGEM
22;Em epidemiologia e estatística um estudo observacional faz inferências sobre o possível efeito de um tratamento em um grupo de indivíduos, onde a alocação dos indivíduos em um grupo em comparação com um grupo pré-selecionado está além do controle do pesquisador.
42;a letra C tambem, não?
22;acredito eu que a C esteja certa
21;c e d entao?
42;C e C tão cetas
42;certas*
21;kkk
42;D**
42;que dificuldade pra escrever kkk
22;aham
22;C E D
51;é acho que é a c e d tbm
21;marquei
22;a A tmb?
42;Sim
42;A C D
22;marquei
22;adrineee
22;adriane,
22;a A tambem
21;marquei [
21;e agora n vai
22;não há moda
21;g
22;isso
51;izi
51;g aqui tbm
42;Não há moda
22;marquei
51;C tá certa
42;C ta certa emsmo
42;mesmo*
21;acho q a e tb nao ?
51;tbm acho
51;C E
42;variancia é o quadrado do desvio padrão
21;beleza
42;Marquei essas duas
22;só a C e a E
21;eu tb
21;aeee galera
21;kkkk
42;nossa gente
42;alguem ta conseguindo ler esse grafico?
42;suhaushaushaushuhsa
51;http://200.102.9.131:8080/Ovaces/img/Figuras/fig3.jpg
22;NÃO
51;vê por esse link
21;boa pergunta loca kkkkkkk
21;eu n to
21;vamos chutar kkkk
21;descul,pa ai teacher
22;TEM QUE PPUXAR ZOOM NA TELA
21;kkkkkkkkkkk
22;VOU MANDAR FOTO NO WHATS
51;conseguiram?
51;esse link abre ela grande
51;http://200.102.9.131:8080/Ovaces/img/Figuras/fig3.jpg
42;então 4,4 é a moda
21;mas aí a media tb é ?
51;a média é 3.5?
51;3.95 ****
42;aqui deu 3,9
42;então a D ta correnta
42;correta*
22;a média deu 3.46
22;pra mim
21;fiz a minha deu 3,9 tbb
51;o desvio padrão é 0.75 ?
21;f
42;Siim
42;deu o,75
51;A c está certa
51;a D tbm
42;C e D
51;E tbm ta certa?
21;ops f nao
21;a e nao
42;e não
21;a f na
51;ue
42;calma
42;to confundindo as letras kk
51;mas o desvio padrão não é 0.75?
21;p mim é a e c 
51;A tá errada
22;Média 3,955556 Variância 0,500247 Desvio padrão 0,707281
51;eu acho que é cde
21;maas a media é 4.4
21;opa moda
51;esse é o desvio padrão populacional carol
21;opa perdao 
21;c e d
42;C D E
21;beleza
22;respondi
40;D não é 
25;acho que é a B
40;C tá certa também 
41;acho q a A não esta 
25;também acho que não
25;B e C só?
25;( 1 + 2 + 3 + 4 + x ) / 5 = 16 
25;10 + x = 16 * 5 
25;x = 80 - 10 
25;70
25;?
41;sim 
41;70+1+2+3+4=80
41;80/5=16
41;Media = 20,8
25;14,44
40; 23 é 4,84
41;raiz de 14,44 dividido por 9 = 1,27 proximo
25;0,04
25;você fez de todos e somou?
41;idade 
41;desvio/media = 0,0197...
25;idade é mais homogênea 
41;vezes 100= 1,97
41;sim
40;Idade 
40;B
41;C acho q nao 
41;b acho q sim
25;d?
41;acho q sim 
41;E ?
40;C não?
41;n sei, só acho q n é só de população 
25;e acho que não também 
41;por isso fiquei na duvida 
40;B e D entao
41;E nao ne ?
25;to em duvida 
41;eu tbm 
25;acho que não 
25;porque só media 
41;tbm estou mais pro nao 
25;moda e mediana 
41;só B e D entao mesmo 
25;B e D 
41;fechou 
25;nominal não realiza calculo?
25;a não 
28;oii?
33;oi
46;Confundimento ou situação de confusão ocorre quando parte do efeito observado de um fator de exposição resulta da presença de uma ou mais variáveis, que estão relacionadas tanto com a doença sob estudo quanto com a exposição de interesse na base populacional.
24;qual vcs acham q é?
28;ja discutiram sobre quais alternativas?
24;nenhuma ainda
46;B
28;blz
28;a A para mim esta incorreta
33;a esta errada
24;B entao?
24;a ta errada
24;a internet aqui ta bem lenta
24;e minhas respostas tao indo tudo atrasado
28;para mim B e D estao corretas
24;a D ta certa
33;confundimento é quando os efeitos  de duas variaveis não pode se distinguir dos outros
24;a c eu acho q ta errada
46;http://www.escolaedti.com.br/experimentacao-e-seus-4-principios-basicos/
28;por isso acho que a b esta correta
46;^ sobre a D
46;nao sei se a D ta certa
28;nao consegui entrar no link
46;pois acho que tem mais nao só essas 2
24;pra mim as corretas sao a B e D
28;mas ele diz elementos chave
24;ja querem responder?
28;nao unicos
46;pode ser entaso
28;pra mim é b e d tb
33;a D eu não achei nada
33;vou por vcs
28;entao bora
28;vou resp
46;"rês princípios básicos de um planejamento de experimentos: replicação; aleatoriedade; blocagem."
33;fechou entao
33;b e d
24;travou aqui
28;nossa nada a ver 
28;a A tava errada ctz
33;nada haver mesmo
24;eu nao vi nada
28;vou fazer a continha ai
24;faz do s q tem salario de 4k
24;pra ser mais rapido
24;ai eu faco dos q tem 3k
28;como assim
28;tem que ser tudo junto
24;dps  jutamos e dividimos
24;fica mais rapido
28;tendi
46;2.83
46;?
33;no meu deu 3.400
28;2.833,33
24;o meu deu 3,4
33;ta errado
24;vo fazer de novo
28;oxi
33;dividi por 50
60;Olá
46;2 deu 3.4 e 2 deram 2.83 
59;eae
33;a
33;deu 2.833
28;eles dividiram errado
28;todos de acordo?
27;Podemos?
46;yeah
33;ss
33;todos
33;de
33;acordo
28;tbme
33;acho 
28;estou
33;que 
33;fechou
33;é
33;a
33;A
33;a
33;c
33;e
33;r
33;t
33;a
28;que cara tonto kkkk
33;kkkkkkkkkkkkkkk
24;piá tongo
28;posso
28;responder
28;agora
46;falta quem responde ?
28;?
60;A a eu acho q está certa
24;mano
33;falta alguem
28;fala ai djow
46;eu ja respondi
24;não é ((3000x10)+(4000x20)+(2000x30))\
24;dividido por 50?
33;nao
28;dividido por 60
33;divide por 60
33;eu q tinha feito errado
24;pq 60?
46;numero de funcionarios nao ?
33;são 10 funcionarios + 20 e depois + 30
24;eu somei errado
24;esquece
60;Estudo  observacional:  neste  estudo, observamos  e  medimos  características específicas,  mas  não  tentamos  modificar  os sujeitos  objeto  de  estudo. 
24;nao sei somar 20+10+30
60;D provavelmente tbm
24;é dividido por 60 msm
33;kkkkkkkkk
46;respondam ai
33;ss
59;a d acho que ta certo tbm
52;a
60;Experimento:  neste  aplicamos  algum tratamento  e  passamos,  então,  a  observar  seu efeito  sobre  os  sujeitos. 
46;affersom
33;me deram 33%
59;e ja que é assim podemos considerar a e certo tbm?
60;a c d tao certas
33;so
28;olocoo
28;nao sabia que a gente ia fazer essa tb
60;falta b e e
46;as 2 termina hj
59;vamos de acd entao haha
28;nao tinha visto
60;por mim
24;essa tbm é pra hj
27;Eu concordo 
28;sorte minha que vcs existem
60;entao vamos
24;#tamojunto
33;o negocio é fazer esse negocio
60;pronto
33;rapidao
60;respondi a c d
28;bora bora entao
59;booa
60;deu bom
27;Boa! Haha
60;pega um papel kkk
59;abre o exel
59;hahaha
24;como q era o desvio padra msm?
28;é aquele gigante
24;era a somatoria  media - a amostra dividido pelo numero?
24;ou era o numero menos 1?
28;soma(xi-u)^2/n
28;isso tudo na raiz
60;a altura dos q ficaram no carro é 3*1,8
60;entao 5,4
24;o /n é da amostra e o/n-1 é i da populacao?
60;somando 5,4m + 3,45m (dos dois que sairam) da igual a 8,85 .. se vc dividir 8,85 por 5 
60;8,85 / 5 = 1,77
59;3 cm maior
59;nice
28;/n é populacional
24;a media do grupo A deu 2,5
28;amostral nao tenho anotado
60;y é 3 cms menor do que a media quando tinham so 3 pessoas
28;achei
28;amostra /n-1
24;amostral deve ser n-1
27;Aqui bateu 
60;3 menor entao ?
60;ou 3 maior
59;ata
59;isso
60;mandei g
60;pera
59;em relação a original 1,8 é 3 cm maior que a media original de y é isso?
60;entao
60;acho q sim
60;maior
60;eu rspondi errado
60;responde ai pra eu poder trocar
59;ele ta comparando 1,8 com o original que era 1,77 então é 3 cm maior ou eu que to bugando
60;vc ta certo
27;Eu não consegui responder 
59;o que aconteceu?
27;Não abriram as alternativas 
24;grupo A desvio padrao deu 2,309
59;voce ta pelo celular?
60;eu consegui trocar
27;Quando eu clico só escreve ENUNCIADO/ ALTERNATIVAS 
27;To sim 
33;O meu desvio padrao da A deu 0.58
24;a media do grupo B deu 2,8
27;Vou tentar no PC 
33;desvio da B igual a 0.56
59;se tentar logar pelo computador sera que da algum erro?
60;acho q nao
60;vai ser como se a net tivesse caido
60;e tem 20 mins ainda
33;não andre
33;não pode dar essa media
60;achei um video pra confirmar hahah
60;https://www.youtube.com/embed/OQ46GWveRDI?rel=0
33;A resposta é a D
33;é para ser isso
33;a D
33;com os resultados q eu obti
33;foi a que se encaixa
60;ola
33;com os resultados
28;cheguei na D tbm
24;eu devo ter errado em alguma coisa
24;pq a a deu 2,309
24;e a b deu 1,871
46;vou por voces
46;meus resultados entao incorretos 
59;sempre tem que ter o oi né
59;ahhaah
60;padrão ne
33;a sua media
24;tipo
33;está muito errada andre
24;qnt deu a media de vcs
33;tipo
27;haha
27;olá 
24;?
27;vamos então 
33;a sua media deu maior q os valores dos dados
33;q é meio q impossivel
24;sim
33;por se tratar de media
24;concordo
46;o resultado final meu na A foi de 0.293 e da B foi de 0.273
28;aconteceu um negocio aqui, vou resolver e ja volto
59;agora começou a ficar dificil
33;não como eu tirar foto pelo note
33;se nao eu mostrava oq eu fiz
60;pois é hahaha
24;eu fiz
24;media de A
24;1+8+2+5+...+1+0
24;dividido por 10
24;ahhh
24;nossa
24;esquece
24;vi onde errei
33;kkkkkkkkkkk
33;acontece
24;pq o cara q fez essa questao nao coloco ponto e virgula?
24;";"
59;se adicionar outros dois caras com 32 anos nao vai alterar a media vai?
24;mas q droga cara
46;vai de letra D entao  ja que o gabriel e o bruno acharam esse resultado ?
24;vou na D
60;vai
60;eu acho
60;ou nao
60;me perdi nessa kkk
24;a regra empirica da amplitude é o desvio padrao/ 2?
60;
;
;
application/pdf;
60;olha isso
60;mas n sei explicar
24;vou mandar uma mesagem aqui pra pessoa q bola essas questoes 
24;"coloca ; POR FAVOR"
59;agora que voce mandou isso entendi melhor
59;2 min agr acho que da p conseguir a resposta
60;blz
60;bateu ?
59;eu acho que é a A
60;respondi
28;voltei
27;vamos de a então
59;tambem
27;eu só consegui depois que você mandou 
27;essa é uma questão de concurso 
60;padrao ola
37;ah
59;mal da pra ver o grafico tao de sacanagem ne
27;olá 
60;como q ve isso
24;bruno
27;ia dizer a mesma coisa 
59;ola
24;vc lembra qual era a regra empirica da amplitude?
60;n da pra ver nada aqui
60;vo tenta salvar e abrir em outro lugar
46;1.02 ?
27;dando zoom no pc da pra ver 
27;mas não da pra abrir o chat daí
27;abrindo ela fora também da 
60;mandei no grupo qlq coisa
46;a nao calculei a variancia cho
33;o meu deu 3
24;como vc chegou no 1.02
24;?
28;é aquilo da porcentagem de dados?
28;95% ta dentro de 2 desvios padrao
28;isso?
59;vou abrir o excel
24;sim
59;ah nao to com ele instalado no pc :/
46;entao
28;só lembro o que é
46;é a letra F gabriel ?
28;nao lembro a aplicaçãp
28;aplicação
60;q confuso
60;n da pra saber exato qnt é
24;
60;tem q chutar mais ou menos onde ta
33;eu calculei o desvio normal
33;e deu 3
59;sim o grafico nao foi bem feito
33;pq as questoes so dao o desvio
24;mas a amplitude nao tinha q dividir por 2
24;o desvio pacrao?
24;padrao*
33;vou dar uma olhada
59;mandei o desvio padrão no wpp
46;amplitude nao é o maior pelo menos ?
59;e a variancia
60;minha media na mao deu 3,91
24;msd rdds nao é a q da errado
24;tipo tem mais chance de erro
24;?
59;a variancia deu 0,558 quando arredonda bate com a c
59;tem q ver a moda só
60;moda é 4,4
46; msd rdds
60;a media deu 3,91
33;ss
46;masoq
60;acho q pode ser 3.95
33;a amplitude
60;q algum eu n sabia peguei o numero interio
33;e a diferença do maior pelo menor
59;é a c msm
59;eu acho
60;mas acho q tem mais q uma sera q nao ?
24;mas ai da 8
24;a diferenca
59;ah sim
59;vdd
59;haha
24;tem q dividir por alguma coisa?
60;c d & e tao perto
27;vai por eliminação 
27;a não bate 
33;por 4
33;dai fecha 2
24;entaao é 2,5
24;2
60;a & e ctz q tao errada
24;2
24;*
33;isso
33;A d
27;e também
27;sim
33;E a certa
33;D
59;desvio padrão pelo que eu calculei deu 0,81
24;já entendemos
33;todos de acordo?
46;isso
28;sim
59;0,82* arredondando pra cima que e o certo
60;entao b ta errada
60;entao c e d
60;vc fez a media com interos so ?
60;eu fiz alguns interos e uma parte peguei quebrada e deu 3,91
60;mas da mais
59;c e d
60;mandei
59;media deu 3,955 aqui
60;mas tinha q anula isso
60;boa
59;mandei c e d
60;eu tambem
29;vitor ta ai ?
62;bruno?
62;bora começar?
29;bora
29;ja foram 5 minutos do tempo
29;só por causa desse bug
62;sem problemas so vamo vo procurar a A
29;vou procurar a b
62;Os dados são obtidos pelo próprio pesquisador, utilizando dados já existentes (dados secundários) ou através de levantamentos (dados primários) e experimentos.
62;http://www.infoescola.com/estatistica/metodos-de-coleta-de-dados/
62;a letra E ta certa?
29;acho q sim
62;http://petdocs.ufc.br/index_artigo_id_410_desc_Bioestat%C3%ADstica_pagina__subtopico_13_busca_
62;Os estudos científicos são divididos em dois tipos principais: os observacionais, nos quais o pesquisador não poderá intervir no paciente, e os experimentais, nos quais a exposição está sob o controle do pesquisador. Os estudos observacionais podem ser feitos em quatro abordagens diferentes: o Estudo de Casos, de Coorte, de Caso-Controle e Transversal.  Eles diferem principalmente pelo tempo de avaliação, abrangência e relação temporal entre o desfecho (p.e. manifestação da doença) e exposição (p.e. fator de risco).
29;ah, a E está errada
29;poq o pesquisador interfere na pesquisa, pois ele faz o medicamento
62;tbm acho
62;entao E errada
62;a letra D
62;o que vc acha da letra D
62;/
62;eu acho que a C esta certa
62;voltou o sistema vamos faezr
29;ae voltou
62;a C esta certa eu acho
62;E errada
29;pra mim E e B erradas
29;C e D certas
29;só não entendi mto bem a A
62;por que vc acha a B errada?
62;por conta do apenas?
29;poq tem mais fontes de dados, né ?
62;entao acho que sim
62;pelo que eu vi na atividade anterior
62;tinha uns 4 ou mais
62;eu ahco qe a A esta certa
62;tipo pelo que eu entendi
29;tb acho q a A está certa
62;ela seria tipo eu tenho o dado que 50 % da populaçao é do brasil
62;entao eu vo escolher um metodo relacionado a isso
29;sim
29;acho q é isso mesmo
62;entao vamo de qual?
62;A C D certaS?
29;A, C e D certas
29;isso
62;gogo
62;so vota la entao
62;BOAAA MLKKKKKK SOMOS DEUSES
29;NOIS
62;áhh
62;essa é so acertar
62;vo pega um lapis e papel la rapidao
29;sim, conta
29;dmr
62;ahhh
62;ja entendi o problema
62;tipo
62;em 3 pessoas tem 1.8m de media 
29;sim
62;e a altura das outras 2 é 3,45
62;entao
62;é so somar 1.8 3,45 /2?
62;ops
62;3
62;é isso?
62;se fizer  o que eu fiz
62;y=1,75 de merdia
62;media*
62;pera
62;posso pensar de outro jeito
29;3 maior n´é ?
29;pera
29;y deu 1,77 aq
62;Então.. ficaram 3 pessoas no carro e a media foi 1,8 m   então vc sabe que se multiplicar 3 por 1,8 vc vai obter a altura das pessoas que ficaram no carro..  no caso  3 . 1,8 = 5,4m   somando 5,4m + 3,45m (dos dois que sairam) da igual a 8,85 .. se vc dividir 8,85 por 5   8,85 / 5 = 1,77   portanto y é 3 cms menor do que a media quando tinham so 3 pessoas
29;ae a media dos 3 é 1,8
62;sim mano
62;veja o que eu fiz
62;acho q é isso
62;1,77
29;letra d
29;D certa
62;maior?
29;só vamos
29;sim
29;1,8 é 3 cm maior q 1,77
62;sim
62;verdade
62;so vamo
29;e ae
29;bora ?
62;eae
62;bora mano
62;desvio padrao
62;é a somatoria
62;do quadrado da diferença
62;dividido por n-1 né?
29;isso mesmo
29;acabei de ver no caderno
29;amplitude é 4desvio
62;hmm
62;amplitude é max- min certo?
62;se for isso
62;o desvio vale 2
62;letra D
29;sim, max-min
29;alternativa d entao
29;DA UMA LUPA AÍ
62;caiu ai?
29;não
29;ta vendo a questão ?
62;to 
62;mas ta pequeno
62;a anterior acertamos?
29;sim
29;acertamos
62;beleza
62;vo testa a letra A
29;blz
62;pela amplitude =4 desvio
62;vai na b
29;n vai dar pela amplitude
29;a diferença é mto grande
62;mano
62;a media do nivel superior
62;é igual a 19
62;entao da para ver
62;se a e ou f
62;vo calcula o desvio
62;pela formula mesmo
29;demoro
29;sim tem q usar a formula normal
29;vai calcular o desvio do nivel superior ?
62;sim
62;ja to calculando
29;a média do nivel medio é 26,875 né ? ai a A, B e C estão erradas
62;eu n vi a media do nivel medio ainda
62;so do superior
62;e o do superior deu 19
62;mano
62;para mi
62;a media
62;do nivel medio de 27,125
62;é isso mesmo
62;27,125
29;ta certo
29;eu li 66
29;ao inves de 69
29;.
29;caiu ai ?
62;nao mano
29;a tinha
62;t errando toda hora
62;nas contas
29;vou terminar de fazer aqui
47;Pronto 
29;vitor
29;fez o desvio do superior ?
47;O
62;fazendo
62;22,142
62;o desvio do superior
62;entao a letra certa
62;é F
29;é a F
62;taka ai
29;mas tem mais
29;do q 1 certa
62;EITA
62;pera entao
62;o medio vc vez?
29;tem q ver o desvio do médio tb
62;ok
62;to com a calculadora
29;eu fiz mas deu um numero enorme
62;2seg
48;Ooo
62;media do medio é 27,125
62;e o desvio
29;sim
62;26,15
62;entao
62;A e F
50;O/
62;gog
29;D e F certas
62;eu takei so F
62;vai ter qe fazer 2x
50;Falta o Renan
29;opa
29;A e F
62;pera
29;li errado
56;to aqui gente
62;sim
48;Não altera ?
62;GO AGORA
48;Pelo celular é complicado mano
50;Creio que não
47;Bem complicado 
47;Qual a fórmula?
48;Ou é A ou E
48;Ou ou ouuuu
47;Qual o valor inicial da variância? 
47;Não lembro o que é 
50;
50;Nós não temos acesso à cada idade dos funcionários
47;A variância inicial é 4 certo?
47;As idades estão entre 28 e 36
50;O desvio padrão é de quatro
47;Não vai se alterar
47;Se a variação está entre esses valores
47;Se a outra idade for 32 não se altera
48;E então ?
50;Aí vc tá falando de desvio padrão ou de variância?
47;Só alteraria de o valor fosse maior que 36 ou menor que 28
47;Variância 
56;pqp eu tava fazendo o calculo do desvio padrao
56;ah, eh so elevar ao quadrado?
50;Pra mim também não se altera, mas tem alguma coisa aí
47;Dado um conjunto de dados, a variância é uma medida de dispersão que mostra o quão distante cada valor desse conjunto está do valor central (médio).
47;Simples 
47;Aaa
48;Mas então ta estranho mesmo, pq a distribuição de salários altera sim, se o mesmo valor for dividido por mais 2 funcionários é pra alterar
48;Teoricamente
47;Porém o que irá se alterar é a média 
56;gente... o meu deu 5,42% a menos
56;O-O
48;O minha primeira conta deu 4,8%
47;Acho que é 5 mesmo
50;Como foi o cálculo que vcs fizeram?
47;Marquei a
47;Aquela fórmula que vc passou
48;Marquei a
56;agora deu exato
47;Confia no Irineu 
56;16 - 100%
56;15,2 - x
56;x = 95%
56;entao o novo resultado seria 95% ou seja 5% menor
47;Bora letra a
56;o que eu fiz faz sentido?
56;nao sei
56;mas foi  o que deu aqui
48;Faz
47;Si fouda
48;A media não altera mas a variante do salario sim, precisaria aumentar proporcionalmente o salario
56;eu respondi letra A
47;Bora
48;Pra não ter alteração
50;Onde vc pegou aquele 15,2?
47;Vai Rodrigues 
56;Ja mando a foto do que eu fiz
48;Essa questão era meio logica rodrigues, 
56;num era nao viado ahsufhasuehfuase
47;Eu achei 
48;Era vey pensa comigo, se aumentar o numero de funcionarios, não ia alterar a media de idade, mas altera o valor de distribuição de salario
56;sim.. o problema era achar qto
56;enfim... bora questao 2
47;A Á lógica era que o valor iria mudar
48;38 = 100% -> logo aumento de 2 membros é = 4,8% de diferença de distribuição de salario kkk fiz de cabeca mas não façam isso em casa
47;Por ser um valor com com uma diferença pequena
47;O 5% seria justo
50;Blz
50;To tentando calcular esse daqui agora
56;a media é quanto?
56;pfvr
50;12,54
48;12,54
47;Meu desvio padrão deu 2.7
47;Mintiiira
48;o meu deu 1,759
47;A variação deu isso
50;O meu deu 1,76
56;o meu deu 1,76 tbm
48;variancia deu 3,096
47;Isso
47;Aqui também 
47;C e D
48;C e D
50;Tb
50;3,09598
56;mas gente.. excel eh tao lindo ne
56;ele so resolve
47;Voa pai
50;C e D
50;Fechou?
47;Já respondi
56;tbm
37;Os resultados de experimentos são algumas vezes destruídos por causa do confundimento.
37;ta certo
52;sim
52;certa
37;O confundimento ocorre em um experimento quando o pesquisador não está apto a distinguir entre os efeitos de diferentes fatores.
49;certaa
52;b) certa
52;A) certa
49;b tbm acho
37;b tbm ta 
49;que ta certa
52;c) errada
37;sim
37;kkkkkkkkkk
52;na real não sei o que é confundimento
37;totalmente 
37;https://www.passeidireto.com/arquivo/24158561/apostila-probabilidade-e-estatistica/19
37;aqui tem d
37;td
37;confundimento ocorre em um experimento quando o pesquisador não está apto a distinguir entre os efeitos de diferentes fatores.
49;https://pt.wikipedia.org/wiki/Vari%C3%A1vel_de_confus%C3%A3o
52;http://www.portaldeconhecimentos.org.br/index.php/por/Conteudo/Planejamento-de-Experimentos-DOE
52;d) certa?
49;a d eu to em duvida
49;"Três princípios básicos de um planejamento de experimentos: replicação; aleatoriedade; blocagem."
49;achei
37;xo ver
49;http://www.portalaction.com.br/planejamento-de-experimento/introducao
49;d ta certa
37;boa
37;achei esse tb
37;entao acho que ta errada ne, pq sao 3
52;mas falta um ne não ?
52;ali só tem dois
52;pode cre
37;sim, acho que tinha que ter o 3
49;pode ser
49;boa observação
52;fechou então ?
52;a, b) certas
49;essa vai estar como errada entao ?
52;e c d) erradas?
37;isso
52;fechou?
49;essa d é pegadinha kkk complicou nossa vida
49;mas blz
37;kkkkkkk
37;fechou
52;go
52;pronto
52;aisjausaijs
52;noixxxx
49;boooua
52;porra
37;boaaa time
37;olha a boca mocinho 
37;boaa essa tem continha 
38; opa
45;E AEEEEEE
38;cambada
38;vcs tem skype?
38;acho q é mais facil mais pra frente
52;to multiplicando pela quantidade de funcionarios
38;usar skype pra se comunicar
45;sim mas to sem microfone
49;essa tem que fazer media ponderada eu acho
38;seu pc nao tem ?
38;mas enfim
49;fiz aqui
38;bora fazer esse exercicio
49;o total de salario pago é 170 mil
49;divididos em 60
52;divide por 60
49;da 2.833,33
52;e ja er
45;se a gente nao escrever nd aqui nao aparece na estatistica la tlg?
37;2833,33
52;R$ 2.833,33
52;?
37;o meu deu isso tb
49;deu isso aqui 
52;fechou
38;to ligado
38;mas a gente escreve tbm
45;pod cre
38;só q na hora de falar fica mais facil
61;eae
38;bora fazer jejuno
38;bora
38;bora
49;tem no caderno mano
52;tem no caderno
61;bora
49;perai
52;mama noix
52;tamo vuando 
52;aishaihsahusha
38;o q é esse planejamento ai ?
38;q fala no exer
37;bele
37;pega la entao no caderno e manda ai
37;meu caderno ta la no carro
49;a a ta certa
49;achei aqui
49;1 desvio é 68
49;2 é 95
49;e 3 é 99.7
45;http://www.pacientecomcancer.com/capitulo/12/123-tipos-de-estudo-clinico/
52;a certa
52;b errada
38;planejamento de experimentos
52;c errada
52;d certa
49;d é certa
37;d certa 
49;e errada
52;f certa
49;nao tem como dar 100
37;a,d corretas entao 
49;f cerya
38;vai
49;g errada tbm,
38;o q vcs acham q ta certo ai ?
52;a d f
37;a,d,f corretas entao
49;adf certas
37;?
37;ok
52;fechou
52;boaaaa
49;booooua time
52;tamo moendo
45;a C ta certa 
52;mais que moedor
49;a ta certa
37;tem que ir na prova assim tb
37;a certa 
38;o q é estudo prospectivo ??
49;a a ta certa msm acabei de ver no caderno
52;b errada
49;acho que a b ta errada
61;acredito q seja isso 
61;O estudo prospectivo é aquele que ocorre baseado em um protocolo de pesquisa e inclui pacientes após a idealização do protocolo. Ou seja, só após se conceber um plano de pesquisa é que se inicia o recrutamento de pacientes. O estudo retrospectivo, por outro lado, se baseia em dados que foram acumulados antes de sua concepção
52;c eu não lembro
49;ta errada
37;Quanto menor for o valor do coeficiente de variação, mais homogêneos serão os dados, ou seja, menor será a dispersão em torno da média.
37;da C
52;certa?
49;coeficiente é a formula la de : S/pela media *100
45;acho q a B e a C tao certo, a D ta errado pelo q ta escrito aqui em cima
49;é usada pra igualar as variaveis
49;algo assim
38;to boiando nessa porra
38;na moral
61;eu tambem 
49;no exercicio aqui
37;c ta errada ?
61;eu nao lembro do guataçara ter passado isso
52;sla mano
52;não sei 
52;iasjhiajisjajsa
52;na moral
49;o desvio padrao da agua deu 5.93 e o coeficiente deu 35,48 e o da luz deu 31.8 e 22.48 respectivamente
52;desvio da agua?
52;iashauhsuahshas
38;vamo na b e c entao ?
38;o q vcs acham ?
49;a c ta certa
37;do exercicio
52;boa
37;vc n foi
52;padrão 
49;kkkkkkkk 
52;dormir é com noixx
52;asjiajsajsjas
52;2
37;c certa entao
45;entao essa letra A acho q pode ta certo tbm
38;bora nessas tres entao
52;os cara mandaram eu falar que tava doente
52;padrao tbm
38;bora bora
38;uhul
38;kkkk
37;kkkkkkkkkkkkkk
49;desvio padrao relativo eu nao lembro
61;kkkkkkk
45;bora
38;esse chat me irrita mano
52;e) depende dos dados
45;tem q fica abaixando a paradinha ne
38;a barra de rolagem nao desce junto com as msgs
52;ne nnão ?
38;isso
38;um saco
61;vdd
61;to puto
45;sim cara -_-
52;F) certa
38;kkkkkkkkkkkkkk
38;jejuno ja manda se fude
38;vai vamo responder
45;eu respondi
37;desvio padrao relativo
37;=
49;O desvio padrão relativo converte o erro ou a incerteza do resultado em porcentagem. Para calculá-lo, divida o desvio padrão pela média e multiplique o resultado por 100%. Algumas pessoas referem-se ao desvio padrão dividido pela média como o relativo, embora esse número seja mais frequentemente convertido em porcentagem. Pode-se utilizar apenas o desvio padrão dividido pela média (sem multiplicar o resultado por 100%).
37;coeficiente de variancia 
49;a d ta certa
61;a b e c neh?
49;pera deixa eu ler melhor kk
52;Os estudos estatísticos estão relacionados às situações que envolvem estratégias e planejamentos, coleta e organização de dados, análise e interpretação clara e objetiva dos dados observados. Para comparação de dois ou mais conjuntos de dados, a estatística utiliza o desvio padrão, desde que esses dados estejam na mesma unidade de medida. Caso os conjuntos de dados sejam medidos em grandezas diferentes (unidades de medida diferentes), a comparação será feita utilizando o coeficiente de variação.
38;boa
38;erramo a a
49;é
52;F) errada
49;a d ta ceta
61;a d tava certa
45;boa essa tem a ver com o assunto pelo menos
38;esssa é facil
38;bora fazer
49;a f ta certa
45;a outra a gente nao viu nd sobre o assunto
61;bora
38;a moda é 13
37;sim, d certa 
49;pq tipo eles deixam os dois na msm unidade de medida para comparação
37;sim
38;alguem calcula a media ai
61;sim
37;na real ele n deixa em unidade nenhuma 
38;facinho
49;aaah nao
49;a f ta errada msm
49;ali ta falando em diferentes escalas
49;ele deixa em porcentagem 
45;11 a media
49;mas a f ta errada msm
52;Para comparação de dois ou mais conjuntos de dados, a estatística utiliza o desvio padrão, desde que esses dados estejam na mesma unidade de medida
49;interpretei errado
37;aham
37;vdd
49;a, c e d certas
49;go
37;blz
38;respondi
38;a e e
38;deu boa ??
38;acertamo tudo ?
61;deu
61;acertamo
45;boa
38;nossa
38;a conta do desvio padrao eu nao lembro
38;alguem lembra :??
45;tem q olhar na apostila ou no google
38;ve ai rapidao
38;to fazendo janta
38;uahuaaha
61;kkkkkk
38;na calculadora dava pra calcular
38;direto
61;vou tentar fazer na calculadora aki
38;tenta
38;nós temos tempo
45;eu nao sei aquele esqueminha da calculadora
45;só sei o passa a passo
38;o passo a passo é grande
38;uhuhauah
61;to tentando lembrar
38;conta de raiz com somatoria
38;deu boa jejuno ?
61;calma ai 
61;to fazendo do b agr
38;to calmo
38;temos 23 min ainda
38;haha
61;fornecedor A 0.587
61;fornecer B 0.554
45;jejuno vai ensinar nois a fazer na calculadora
45;excelente
38;vai mesmo hahaha
61;kkkkkkkk
61;pode deixar
38;entao é letra a
38;bora responder ?
45;nao mano, o desvio padrao do A é maior q o do B
38;entao 
38; pode cre
38;nao li direito
38;esquece
45;e agr, é mais uniforme qnd o desvio padrao é maior ou menor?
38;mais uniforme qnd é menor né
45;letra D entao
45;confere?
61;acredito q sim
38;sim
38;letra d
38;vou respoder
45;respondi
38;tbm
38;falta jejuno
61;respondi 
38;boaaaaaa timee
61;deu boa
45;boa carai
